index,dteday,season_nm,weathersit_nm,temp_val,casual,registered,cnt
65,2011-03-07,Spring,Clear,4.0,244,1628,1872
66,2011-03-08,Spring,Clear,6.0,316,1817,2133
67,2011-03-09,Spring,Mist + Cloudy,6.0,191,1700,1891
68,2011-03-10,Spring,Light Snow/Rain,10.0,46,577,623
69,2011-03-11,Spring,Mist + Cloudy,7.0,247,1730,1977
70,2011-03-12,Spring,Clear,7.0,724,1408,2132
71,2011-03-13,Spring,Clear,10.0,982,1435,2417
72,2011-03-14,Spring,Clear,7.0,359,1687,2046
73,2011-03-15,Spring,Mist + Cloudy,7.0,289,1767,2056
74,2011-03-16,Spring,Mist + Cloudy,9.0,321,1871,2192
75,2011-03-17,Spring,Clear,12.0,424,2320,2744
76,2011-03-18,Spring,Clear,17.0,884,2355,3239
77,2011-03-19,Spring,Clear,14.0,1424,1693,3117
78,2011-03-20,Spring,Clear,8.0,1047,1424,2471
79,2011-03-21,Summer,Mist + Cloudy,12.0,401,1676,2077
80,2011-03-22,Summer,Clear,13.0,460,2243,2703
81,2011-03-23,Summer,Mist + Cloudy,8.0,203,1918,2121
82,2011-03-24,Summer,Mist + Cloudy,5.0,166,1699,1865
83,2011-03-25,Summer,Clear,4.0,300,1910,2210
84,2011-03-26,Summer,Clear,4.0,981,1515,2496
85,2011-03-27,Summer,Mist + Cloudy,4.0,472,1221,1693
86,2011-03-28,Summer,Clear,4.0,222,1806,2028
87,2011-03-29,Summer,Clear,6.0,317,2108,2425
88,2011-03-30,Summer,Mist + Cloudy,6.0,168,1368,1536
89,2011-03-31,Summer,Light Snow/Rain,5.0,179,1506,1685
90,2011-04-01,Summer,Mist + Cloudy,6.0,307,1920,2227
91,2011-04-02,Summer,Mist + Cloudy,7.0,898,1354,2252
92,2011-04-03,Summer,Clear,10.0,1651,1598,3249
93,2011-04-04,Summer,Clear,19.0,734,2381,3115
94,2011-04-05,Summer,Mist + Cloudy,11.0,167,1628,1795
95,2011-04-06,Summer,Clear,10.0,413,2395,2808
96,2011-04-07,Summer,Clear,13.0,571,2570,3141
97,2011-04-08,Summer,Mist + Cloudy,8.0,172,1299,1471
98,2011-04-09,Summer,Mist + Cloudy,8.0,879,1576,2455
99,2011-04-10,Summer,Mist + Cloudy,12.0,1188,1707,2895
100,2011-04-11,Summer,Mist + Cloudy,20.0,855,2493,3348
101,2011-04-12,Summer,Mist + Cloudy,16.0,257,1777,2034
102,2011-04-13,Summer,Mist + Cloudy,11.0,209,1953,2162
103,2011-04-14,Summer,Clear,14.0,529,2738,3267
104,2011-04-15,Summer,Clear,13.0,642,2484,3126
105,2011-04-16,Summer,Light Snow/Rain,12.0,121,674,795
106,2011-04-17,Summer,Clear,13.0,1558,2186,3744
107,2011-04-18,Summer,Clear,16.0,669,2760,3429
108,2011-04-19,Summer,Mist + Cloudy,16.0,409,2795,3204
109,2011-04-20,Summer,Clear,20.0,613,3331,3944
110,2011-04-21,Summer,Clear,14.0,745,3444,4189
111,2011-04-22,Summer,Mist + Cloudy,8.0,177,1506,1683
112,2011-04-23,Summer,Mist + Cloudy,14.0,1462,2574,4036
113,2011-04-24,Summer,Mist + Cloudy,19.0,1710,2481,4191
114,2011-04-25,Summer,Clear,21.0,773,3300,4073
115,2011-04-26,Summer,Clear,22.0,678,3722,4400
116,2011-04-27,Summer,Mist + Cloudy,21.0,547,3325,3872
117,2011-04-28,Summer,Mist + Cloudy,21.0,569,3489,4058
118,2011-04-29,Summer,Clear,16.0,878,3717,4595
119,2011-04-30,Summer,Clear,14.0,1965,3347,5312
120,2011-05-01,Summer,Mist + Cloudy,13.0,1138,2213,3351
121,2011-05-02,Summer,Mist + Cloudy,18.0,847,3554,4401
122,2011-05-03,Summer,Mist + Cloudy,21.0,603,3848,4451
123,2011-05-04,Summer,Mist + Cloudy,11.0,255,2378,2633
124,2011-05-05,Summer,Clear,14.0,614,3819,4433
125,2011-05-06,Summer,Clear,15.0,894,3714,4608
126,2011-05-07,Summer,Clear,16.0,1612,3102,4714
127,2011-05-08,Summer,Clear,17.0,1401,2932,4333
128,2011-05-09,Summer,Clear,17.0,664,3698,4362
129,2011-05-10,Summer,Clear,17.0,694,4109,4803
130,2011-05-11,Summer,Clear,17.0,550,3632,4182
131,2011-05-12,Summer,Clear,17.0,695,4169,4864
132,2011-05-13,Summer,Mist + Cloudy,16.0,692,3413,4105
133,2011-05-14,Summer,Mist + Cloudy,16.0,902,2507,3409
134,2011-05-15,Summer,Mist + Cloudy,18.0,1582,2971,4553
135,2011-05-16,Summer,Clear,19.0,773,3185,3958
136,2011-05-17,Summer,Mist + Cloudy,18.0,678,3445,4123
137,2011-05-18,Summer,Mist + Cloudy,18.0,536,3319,3855
138,2011-05-19,Summer,Mist + Cloudy,17.0,735,3840,4575
139,2011-05-20,Summer,Clear,17.0,909,4008,4917
140,2011-05-21,Summer,Clear,20.0,2258,3547,5805
141,2011-05-22,Summer,Clear,20.0,1576,3084,4660
142,2011-05-23,Summer,Mist + Cloudy,22.0,836,3438,4274
143,2011-05-24,Summer,Mist + Cloudy,23.0,659,3833,4492
144,2011-05-25,Summer,Clear,23.0,740,4238,4978
145,2011-05-26,Summer,Clear,25.0,758,3919,4677
146,2011-05-27,Summer,Clear,24.0,871,3808,4679
147,2011-05-28,Summer,Clear,23.0,2001,2757,4758
148,2011-05-29,Summer,Clear,23.0,2355,2433,4788
149,2011-05-30,Summer,Clear,26.0,1549,2549,4098
150,2011-05-31,Summer,Clear,28.0,673,3309,3982
151,2011-06-01,Summer,Mist + Cloudy,28.0,513,3461,3974
152,2011-06-02,Summer,Clear,26.0,736,4232,4968
153,2011-06-03,Summer,Clear,21.0,898,4414,5312
154,2011-06-04,Summer,Clear,22.0,1869,3473,5342
155,2011-06-05,Summer,Mist + Cloudy,22.0,1685,3221,4906
156,2011-06-06,Summer,Clear,24.0,673,3875,4548
157,2011-06-07,Summer,Clear,25.0,763,4070,4833
158,2011-06-08,Summer,Clear,28.0,676,3725,4401
159,2011-06-09,Summer,Mist + Cloudy,30.0,563,3352,3915
160,2011-06-10,Summer,Clear,27.0,815,3771,4586
161,2011-06-11,Summer,Clear,26.0,1729,3237,4966
162,2011-06-12,Summer,Clear,25.0,1467,2993,4460
163,2011-06-13,Summer,Clear,22.0,863,4157,5020
164,2011-06-14,Summer,Clear,20.0,727,4164,4891
165,2011-06-15,Summer,Clear,21.0,769,4411,5180
166,2011-06-16,Summer,Mist + Cloudy,22.0,545,3222,3767
167,2011-06-17,Summer,Clear,23.0,863,3981,4844
168,2011-06-18,Summer,Clear,25.0,1807,3312,5119
169,2011-06-19,Summer,Mist + Cloudy,25.0,1639,3105,4744
170,2011-06-20,Summer,Mist + Cloudy,22.0,699,3311,4010
171,2011-06-21,Fall,Mist + Cloudy,24.0,774,4061,4835
172,2011-06-22,Fall,Clear,26.0,661,3846,4507
173,2011-06-23,Fall,Mist + Cloudy,26.0,746,4044,4790
174,2011-06-24,Fall,Clear,26.0,969,4022,4991
175,2011-06-25,Fall,Clear,25.0,1782,3420,5202
176,2011-06-26,Fall,Clear,24.0,1920,3385,5305
177,2011-06-27,Fall,Mist + Cloudy,24.0,854,3854,4708
178,2011-06-28,Fall,Clear,27.0,732,3916,4648
179,2011-06-29,Fall,Clear,26.0,848,4377,5225
180,2011-06-30,Fall,Clear,25.0,1027,4488,5515
181,2011-07-01,Fall,Clear,26.0,1246,4116,5362
182,2011-07-02,Fall,Clear,27.0,2204,2915,5119
183,2011-07-03,Fall,Mist + Cloudy,26.0,2282,2367,4649
184,2011-07-04,Fall,Mist + Cloudy,26.0,3065,2978,6043
185,2011-07-05,Fall,Clear,27.0,1031,3634,4665
186,2011-07-06,Fall,Clear,26.0,784,3845,4629
187,2011-07-07,Fall,Clear,27.0,754,3838,4592
188,2011-07-08,Fall,Mist + Cloudy,25.0,692,3348,4040
189,2011-07-09,Fall,Clear,26.0,1988,3348,5336
190,2011-07-10,Fall,Clear,27.0,1743,3138,4881
191,2011-07-11,Fall,Clear,28.0,723,3363,4086
192,2011-07-12,Fall,Clear,29.0,662,3596,4258
193,2011-07-13,Fall,Clear,27.0,748,3594,4342
194,2011-07-14,Fall,Clear,24.0,888,4196,5084
195,2011-07-15,Fall,Clear,23.0,1318,4220,5538
196,2011-07-16,Fall,Clear,24.0,2418,3505,5923
197,2011-07-17,Fall,Clear,26.0,2006,3296,5302
198,2011-07-18,Fall,Clear,27.0,841,3617,4458
199,2011-07-19,Fall,Clear,29.0,752,3789,4541
200,2011-07-20,Fall,Clear,28.0,644,3688,4332
201,2011-07-21,Fall,Mist + Cloudy,30.0,632,3152,3784
202,2011-07-22,Fall,Clear,32.0,562,2825,3387
203,2011-07-23,Fall,Clear,32.0,987,2298,3285
204,2011-07-24,Fall,Clear,31.0,1050,2556,3606
205,2011-07-25,Fall,Clear,27.0,568,3272,3840
206,2011-07-26,Fall,Clear,28.0,750,3840,4590
207,2011-07-27,Fall,Clear,28.0,755,3901,4656
208,2011-07-28,Fall,Clear,29.0,606,3784,4390
209,2011-07-29,Fall,Clear,31.0,670,3176,3846
210,2011-07-30,Fall,Clear,30.0,1559,2916,4475
211,2011-07-31,Fall,Clear,30.0,1524,2778,4302
212,2011-08-01,Fall,Clear,28.0,729,3537,4266
213,2011-08-02,Fall,Clear,29.0,801,4044,4845
214,2011-08-03,Fall,Mist + Cloudy,26.0,467,3107,3574
215,2011-08-04,Fall,Mist + Cloudy,25.0,799,3777,4576
216,2011-08-05,Fall,Clear,25.0,1023,3843,4866
217,2011-08-06,Fall,Mist + Cloudy,26.0,1521,2773,4294
218,2011-08-07,Fall,Clear,27.0,1298,2487,3785
219,2011-08-08,Fall,Clear,28.0,846,3480,4326
220,2011-08-09,Fall,Clear,28.0,907,3695,4602
221,2011-08-10,Fall,Clear,28.0,884,3896,4780
222,2011-08-11,Fall,Clear,26.0,812,3980,4792
223,2011-08-12,Fall,Clear,25.0,1051,3854,4905
224,2011-08-13,Fall,Mist + Cloudy,24.0,1504,2646,4150
225,2011-08-14,Fall,Mist + Cloudy,24.0,1338,2482,3820
226,2011-08-15,Fall,Clear,23.0,775,3563,4338
227,2011-08-16,Fall,Clear,25.0,721,4004,4725
228,2011-08-17,Fall,Clear,26.0,668,4026,4694
229,2011-08-18,Fall,Clear,25.0,639,3166,3805
230,2011-08-19,Fall,Mist + Cloudy,24.0,797,3356,4153
231,2011-08-20,Fall,Clear,25.0,1914,3277,5191
232,2011-08-21,Fall,Clear,25.0,1249,2624,3873
233,2011-08-22,Fall,Clear,25.0,833,3925,4758
234,2011-08-23,Fall,Clear,22.0,1281,4614,5895
235,2011-08-24,Fall,Clear,24.0,949,4181,5130
236,2011-08-25,Fall,Mist + Cloudy,24.0,435,3107,3542
237,2011-08-26,Fall,Clear,25.0,768,3893,4661
238,2011-08-27,Fall,Mist + Cloudy,24.0,226,889,1115
239,2011-08-28,Fall,Clear,25.0,1415,2919,4334
240,2011-08-29,Fall,Clear,22.0,729,3905,4634
241,2011-08-30,Fall,Clear,22.0,775,4429,5204
242,2011-08-31,Fall,Clear,23.0,688,4370,5058
243,2011-09-01,Fall,Clear,23.0,783,4332,5115
244,2011-09-02,Fall,Mist + Cloudy,22.0,875,3852,4727
245,2011-09-03,Fall,Clear,23.0,1935,2549,4484
246,2011-09-04,Fall,Clear,25.0,2521,2419,4940
247,2011-09-05,Fall,Mist + Cloudy,24.0,1236,2115,3351
248,2011-09-06,Fall,Light Snow/Rain,17.0,204,2506,2710
249,2011-09-07,Fall,Light Snow/Rain,20.0,118,1878,1996
250,2011-09-08,Fall,Light Snow/Rain,22.0,153,1689,1842
251,2011-09-09,Fall,Mist + Cloudy,23.0,417,3127,3544
252,2011-09-10,Fall,Clear,23.0,1750,3595,5345
253,2011-09-11,Fall,Clear,23.0,1633,3413,5046
254,2011-09-12,Fall,Clear,22.0,690,4023,4713
255,2011-09-13,Fall,Clear,23.0,701,4062,4763
256,2011-09-14,Fall,Clear,24.0,647,4138,4785
257,2011-09-15,Fall,Mist + Cloudy,19.0,428,3231,3659
258,2011-09-16,Fall,Mist + Cloudy,14.0,742,4018,4760
259,2011-09-17,Fall,Mist + Cloudy,15.0,1434,3077,4511
260,2011-09-18,Fall,Clear,16.0,1353,2921,4274
261,2011-09-19,Fall,Mist + Cloudy,18.0,691,3848,4539
262,2011-09-20,Fall,Mist + Cloudy,18.0,438,3203,3641
263,2011-09-21,Fall,Mist + Cloudy,20.0,539,3813,4352
264,2011-09-22,Fall,Mist + Cloudy,22.0,555,4240,4795
265,2011-09-23,Winter,Mist + Cloudy,21.0,258,2137,2395
266,2011-09-24,Winter,Mist + Cloudy,21.0,1776,3647,5423
267,2011-09-25,Winter,Mist + Cloudy,22.0,1544,3466,5010
268,2011-09-26,Winter,Mist + Cloudy,23.0,684,3946,4630
269,2011-09-27,Winter,Mist + Cloudy,22.0,477,3643,4120
270,2011-09-28,Winter,Mist + Cloudy,22.0,480,3427,3907
271,2011-09-29,Winter,Clear,21.0,653,4186,4839
272,2011-09-30,Winter,Clear,19.0,830,4372,5202
273,2011-10-01,Winter,Mist + Cloudy,11.0,480,1949,2429
274,2011-10-02,Winter,Mist + Cloudy,9.0,616,2302,2918
275,2011-10-03,Winter,Mist + Cloudy,10.0,330,3240,3570
276,2011-10-04,Winter,Clear,15.0,486,3970,4456
277,2011-10-05,Winter,Clear,17.0,559,4267,4826
278,2011-10-06,Winter,Clear,15.0,639,4126,4765
279,2011-10-07,Winter,Clear,16.0,949,4036,4985
280,2011-10-08,Winter,Clear,17.0,2235,3174,5409
281,2011-10-09,Winter,Clear,17.0,2397,3114,5511
282,2011-10-10,Winter,Clear,19.0,1514,3603,5117
283,2011-10-11,Winter,Mist + Cloudy,19.0,667,3896,4563
284,2011-10-12,Winter,Light Snow/Rain,18.0,217,2199,2416
285,2011-10-13,Winter,Mist + Cloudy,20.0,290,2623,2913
286,2011-10-14,Winter,Mist + Cloudy,18.0,529,3115,3644
287,2011-10-15,Winter,Clear,16.0,1899,3318,5217
288,2011-10-16,Winter,Clear,16.0,1748,3293,5041
289,2011-10-17,Winter,Clear,17.0,713,3857,4570
290,2011-10-18,Winter,Mist + Cloudy,17.0,637,4111,4748
291,2011-10-19,Winter,Light Snow/Rain,17.0,254,2170,2424
292,2011-10-20,Winter,Clear,14.0,471,3724,4195
293,2011-10-21,Winter,Clear,12.0,676,3628,4304
294,2011-10-22,Winter,Clear,12.0,1499,2809,4308
295,2011-10-23,Winter,Clear,12.0,1619,2762,4381
296,2011-10-24,Winter,Clear,14.0,699,3488,4187
297,2011-10-25,Winter,Clear,14.0,695,3992,4687
298,2011-10-26,Winter,Mist + Cloudy,15.0,404,3490,3894
299,2011-10-27,Winter,Mist + Cloudy,14.0,240,2419,2659
300,2011-10-28,Winter,Mist + Cloudy,8.0,456,3291,3747
301,2011-10-29,Winter,Light Snow/Rain,4.0,57,570,627
302,2011-10-30,Winter,Clear,7.0,885,2446,3331
303,2011-10-31,Winter,Clear,8.0,362,3307,3669
304,2011-11-01,Winter,Clear,11.0,410,3658,4068
305,2011-11-02,Winter,Clear,10.0,370,3816,4186
306,2011-11-03,Winter,Clear,11.0,318,3656,3974
307,2011-11-04,Winter,Mist + Cloudy,11.0,470,3576,4046
308,2011-11-05,Winter,Clear,7.0,1156,2770,3926
309,2011-11-06,Winter,Clear,8.0,952,2697,3649
310,2011-11-07,Winter,Clear,11.0,373,3662,4035
311,2011-11-08,Winter,Clear,11.0,376,3829,4205
312,2011-11-09,Winter,Clear,11.0,305,3804,4109
313,2011-11-10,Winter,Mist + Cloudy,10.0,190,2743,2933
314,2011-11-11,Winter,Clear,7.0,440,2928,3368
315,2011-11-12,Winter,Clear,9.0,1275,2792,4067
316,2011-11-13,Winter,Clear,13.0,1004,2713,3717
317,2011-11-14,Winter,Clear,17.0,595,3891,4486
318,2011-11-15,Winter,Mist + Cloudy,17.0,449,3746,4195
319,2011-11-16,Winter,Light Snow/Rain,13.0,145,1672,1817
320,2011-11-17,Winter,Mist + Cloudy,8.0,139,2914,3053
321,2011-11-18,Winter,Clear,5.0,245,3147,3392
322,2011-11-19,Winter,Clear,7.0,943,2720,3663
323,2011-11-20,Winter,Mist + Cloudy,14.0,787,2733,3520
324,2011-11-21,Winter,Light Snow/Rain,13.0,220,2545,2765
325,2011-11-22,Winter,Light Snow/Rain,12.0,69,1538,1607
326,2011-11-23,Winter,Mist + Cloudy,13.0,112,2454,2566
327,2011-11-24,Winter,Clear,10.0,560,935,1495
328,2011-11-25,Winter,Clear,10.0,1095,1697,2792
329,2011-11-26,Winter,Clear,10.0,1249,1819,3068
330,2011-11-27,Winter,Clear,14.0,810,2261,3071
331,2011-11-28,Winter,Clear,16.0,253,3614,3867
332,2011-11-29,Winter,Mist + Cloudy,14.0,96,2818,2914
333,2011-11-30,Winter,Clear,7.0,188,3425,3613
334,2011-12-01,Winter,Clear,7.0,182,3545,3727
335,2011-12-02,Winter,Clear,7.0,268,3672,3940
336,2011-12-03,Winter,Clear,6.0,706,2908,3614
337,2011-12-04,Winter,Clear,8.0,634,2851,3485
338,2011-12-05,Winter,Mist + Cloudy,10.0,233,3578,3811
339,2011-12-06,Winter,Light Snow/Rain,14.0,126,2468,2594
340,2011-12-07,Winter,Light Snow/Rain,11.0,50,655,705
341,2011-12-08,Winter,Clear,4.0,150,3172,3322
342,2011-12-09,Winter,Clear,6.0,261,3359,3620
343,2011-12-10,Winter,Clear,5.0,502,2688,3190
344,2011-12-11,Winter,Clear,2.0,377,2366,2743
345,2011-12-12,Winter,Clear,3.0,143,3167,3310
346,2011-12-13,Winter,Clear,5.0,155,3368,3523
347,2011-12-14,Winter,Mist + Cloudy,7.0,178,3562,3740
348,2011-12-15,Winter,Mist + Cloudy,12.0,181,3528,3709
349,2011-12-16,Winter,Mist + Cloudy,10.0,178,3399,3577
350,2011-12-17,Winter,Mist + Cloudy,4.0,275,2464,2739
351,2011-12-18,Winter,Clear,3.0,220,2211,2431
352,2011-12-19,Winter,Clear,5.0,260,3143,3403
353,2011-12-20,Winter,Mist + Cloudy,10.0,216,3534,3750
354,2011-12-21,Spring,Mist + Cloudy,12.0,107,2553,2660
355,2011-12-22,Spring,Mist + Cloudy,12.0,227,2841,3068
356,2011-12-23,Spring,Clear,10.0,163,2046,2209
357,2011-12-24,Spring,Clear,6.0,155,856,1011
358,2011-12-25,Spring,Clear,5.0,303,451,754
359,2011-12-26,Spring,Clear,7.0,430,887,1317
360,2011-12-27,Spring,Mist + Cloudy,7.0,103,1059,1162
361,2011-12-28,Spring,Clear,6.0,255,2047,2302
362,2011-12-29,Spring,Clear,4.0,254,2169,2423
363,2011-12-30,Spring,Clear,7.0,491,2508,2999
364,2011-12-31,Spring,Clear,11.0,665,1820,2485
365,2012-01-01,Spring,Clear,9.0,686,1608,2294
366,2012-01-02,Spring,Clear,5.0,244,1707,1951
367,2012-01-03,Spring,Clear,-1.0,89,2147,2236
368,2012-01-04,Spring,Mist + Cloudy,-3.0,95,2273,2368
369,2012-01-05,Spring,Clear,4.0,140,3132,3272
370,2012-01-06,Spring,Clear,8.0,307,3791,4098
371,2012-01-07,Spring,Clear,10.0,1070,3451,4521
372,2012-01-08,Spring,Clear,8.0,599,2826,3425
373,2012-01-09,Spring,Mist + Cloudy,3.0,106,2270,2376
374,2012-01-10,Spring,Clear,7.0,173,3425,3598
375,2012-01-11,Spring,Mist + Cloudy,5.0,92,2085,2177
376,2012-01-12,Spring,Mist + Cloudy,10.0,269,3828,4097
377,2012-01-13,Spring,Clear,5.0,174,3040,3214
378,2012-01-14,Spring,Clear,0.0,333,2160,2493
379,2012-01-15,Spring,Clear,-0.0,284,2027,2311
380,2012-01-16,Spring,Clear,1.0,217,2081,2298
381,2012-01-17,Spring,Mist + Cloudy,10.0,127,2808,2935
382,2012-01-18,Spring,Clear,6.0,109,3267,3376
383,2012-01-19,Spring,Clear,1.0,130,3162,3292
384,2012-01-20,Spring,Mist + Cloudy,2.0,115,3048,3163
385,2012-01-21,Spring,Mist + Cloudy,0.0,67,1234,1301
386,2012-01-22,Spring,Mist + Cloudy,-0.0,196,1781,1977
387,2012-01-23,Spring,Mist + Cloudy,2.0,145,2287,2432
388,2012-01-24,Spring,Clear,8.0,439,3900,4339
389,2012-01-25,Spring,Clear,6.0,467,3803,4270
390,2012-01-26,Spring,Mist + Cloudy,8.0,244,3831,4075
391,2012-01-27,Spring,Mist + Cloudy,12.0,269,3187,3456
392,2012-01-28,Spring,Clear,7.0,775,3248,4023
393,2012-01-29,Spring,Clear,5.0,558,2685,3243
394,2012-01-30,Spring,Clear,5.0,126,3498,3624
395,2012-01-31,Spring,Clear,10.0,324,4185,4509
396,2012-02-01,Spring,Clear,14.0,304,4275,4579
397,2012-02-02,Spring,Mist + Cloudy,11.0,190,3571,3761
398,2012-02-03,Spring,Clear,7.0,310,3841,4151
399,2012-02-04,Spring,Mist + Cloudy,4.0,384,2448,2832
400,2012-02-05,Spring,Mist + Cloudy,4.0,318,2629,2947
401,2012-02-06,Spring,Clear,5.0,206,3578,3784
402,2012-02-07,Spring,Clear,9.0,199,4176,4375
403,2012-02-08,Spring,Mist + Cloudy,4.0,109,2693,2802
404,2012-02-09,Spring,Clear,4.0,163,3667,3830
405,2012-02-10,Spring,Mist + Cloudy,5.0,227,3604,3831
406,2012-02-11,Spring,Light Snow/Rain,3.0,192,1977,2169
407,2012-02-12,Spring,Clear,-2.0,73,1456,1529
408,2012-02-13,Spring,Clear,2.0,94,3328,3422
409,2012-02-14,Spring,Mist + Cloudy,7.0,135,3787,3922
410,2012-02-15,Spring,Clear,8.0,141,4028,4169
411,2012-02-16,Spring,Mist + Cloudy,7.0,74,2931,3005
412,2012-02-17,Spring,Clear,8.0,349,3805,4154
413,2012-02-18,Spring,Clear,8.0,1435,2883,4318
414,2012-02-19,Spring,Mist + Cloudy,5.0,618,2071,2689
415,2012-02-20,Spring,Clear,5.0,502,2627,3129
416,2012-02-21,Spring,Clear,6.0,163,3614,3777
417,2012-02-22,Spring,Clear,11.0,394,4379,4773
418,2012-02-23,Spring,Clear,13.0,516,4546,5062
419,2012-02-24,Spring,Mist + Cloudy,11.0,246,3241,3487
420,2012-02-25,Spring,Clear,6.0,317,2415,2732
421,2012-02-26,Spring,Clear,5.0,515,2874,3389
422,2012-02-27,Spring,Clear,9.0,253,4069,4322
423,2012-02-28,Spring,Clear,9.0,229,4134,4363
424,2012-02-29,Spring,Mist + Cloudy,8.0,65,1769,1834
425,2012-03-01,Spring,Clear,15.0,325,4665,4990
426,2012-03-02,Spring,Mist + Cloudy,9.0,246,2948,3194
427,2012-03-03,Spring,Mist + Cloudy,11.0,956,3110,4066
428,2012-03-04,Spring,Clear,7.0,710,2713,3423
429,2012-03-05,Spring,Clear,3.0,203,3130,3333
430,2012-03-06,Spring,Clear,4.0,221,3735,3956
431,2012-03-07,Spring,Clear,11.0,432,4484,4916
432,2012-03-08,Spring,Clear,17.0,486,4896,5382
433,2012-03-09,Spring,Mist + Cloudy,11.0,447,4122,4569
434,2012-03-10,Spring,Clear,6.0,968,3150,4118
435,2012-03-11,Spring,Clear,9.0,1658,3253,4911
436,2012-03-12,Spring,Clear,14.0,838,4460,5298
437,2012-03-13,Spring,Clear,19.0,762,5085,5847
438,2012-03-14,Spring,Clear,19.0,997,5315,6312
439,2012-03-15,Spring,Clear,18.0,1005,5187,6192
440,2012-03-16,Spring,Mist + Cloudy,12.0,548,3830,4378
441,2012-03-17,Spring,Mist + Cloudy,16.0,3155,4681,7836
442,2012-03-18,Spring,Mist + Cloudy,14.0,2207,3685,5892
443,2012-03-19,Spring,Clear,18.0,982,5171,6153
